Event(s),File,Function,Code,Test
MinterConfigured,FiatTokenV1,configureMinter,et000,et000 should check MinterConfigured event
"Mint, Transfer",FiatTokenV1,mint,et001,et001 should check Mint/Transfer events
"Burn, Transfer",FiatTokenV1,burn,et002 ,et002 should check Burn/Transfer events
MinterRemoved,FiatTokenV1,removeMinter,et003,et003 should check MinterRemoved event
MasterMinterChanged,FiatTokenV1,updateMasterMinter,et004,et004 should check MasterMinterChanged event
Blacklisted,Blacklistable,blacklist,et005,et005 should check Blacklisted event
UnBlacklisted,Blacklistable,unBlacklist,et006,et006 should check UnBlacklisted event
BlacklisterChanged,Blacklistable,updateBlacklister,et007,et007 should check BlacklisterChanged event
Upgraded,_upgradeTo,UpgradeabilityProxy,et008,et008 should check Upgraded event
AdminChanged,changeAdmin,AdminUpgradeabilityProxy,et009,et009 should check AdminChanged event
OwnershipTransferred,Ownable,transferOwnership,et010,et010 should check OwnershipTransferred event
Approval,FiatTokenV1,approve,et011,et011 should check Approval event
Pause,Pausable,pause,et012,et012 should check Pause event
Unpause,Pausable,unpause,et013,et013 should check Unpause event
PauserChanged,Pausable,updatePauser,et014,et014 should check PauserChanged event
Transfer,FiatTokenV1,transfer,et015,et015 should check Transfer event
Transfer,FiatTokenV1,transferFrom,et016,et016 should check Transfer event in transferFrom
