File,Function,Code,Test
Proxy.sol,_delegate,abi056,abi056 Proxy _delegate is internal
Proxy.sol,_fallback,abi058,abi058 Proxy _fallback is internal
AdminUpgradeabilityProxy.sol,_setAdmin,abi053,abi053 AdminUpgradeabillityProxy _setAdmin is internal
UpgradeabilityProxy.sol,_setImplementation,abi050,abi050 Upgradeability implementation is internal
UpgradeabilityProxy.sol,_upgradeTo,abi028,abi028 UpgradeabilityProxy._upgradeTo is internal
AdminUpgradeabilityProxy.sol,_willFallback,abi057,abi057 Proxy _willFallback is internal
Proxy.sol,_willFallback,abi057,abi057 Proxy _willFallback is internal
AdminUpgradeabilityProxy.sol,AdminUpgradeabilityProxy,abi051,abi051 AdminUpgradeabillityProxy constructor is not a function
Blacklistable.sol,Blacklistable,abi040,abi040 Blacklistable constructor is not a function
FiatTokenV1.sol,FiatToken,abi041,abi041 FiatToken constructor is not a function
Ownable.sol,Ownable,abi042,abi042 Ownable constructor is not a function
Pausable.sol,Pausable,abi005,abi005 Pausable constructor is not a function
FiatTokenV1.sol,pause,abi004,abi004 FiatToken pause() is public
FiatTokenProxy.sol,Proxy,abi043,abi043 FiatTokenProxy constructor is not a function
Proxy.sol,Proxy,abi055,abi055 Proxy constructor is not a function
Ownable.sol,setOwner,abi025,abi025 setOwner is internal
UpgradeabilityProxy.sol,UpgradeabilityProxy,abi027,abi027 UpgradeabilityProxy constructor
