Function,Restriction,Code,Test
approve,blacklisted[msg.sender] == false,nt009,nt009 should fail to approve when msg.sender is blacklisted
approve,blacklisted[_spender] == false,nt008,nt008 should fail to approve when spender is blacklisted
approve,paused == false,nt010,nt010 should fail to approve when contract is paused
blacklist,msg.sender == blacklister,nt042,nt042 should fail to blacklist when sender is not blacklister
burn,_amount > 0,nt056,nt056 should fail to burn when amount = 0
burn,_amount >= 0,nt032,nt032 should fail to burn when amount is -1
burn,balances[msg.sender] >= _amount,nt031,nt031 should fail to burn when balance is less than amount
burn,blacklisted[msg.sender] ==false,nt033,nt033 should fail to burn when sender is blacklisted
burn,minters[msg.sender] == true,nt035,nt035 should fail to burn when sender is not minter
burn,minters[msg.sender] == true,nt036,nt036 should fail to burn after removeMinter
burn,paused == false,nt034,nt034 should fail to burn when paused
configureMinter,msg.sender == masterMinter,nt026,nt026 should fail to configureMinter when sender is not masterMinter
configureMinter,paused == false,nt028,nt028 should fail to configureMinter when paused
initialize,_blacklister != address(0),nt062,nt062 initialize should fail when _blacklister is 0x0
initialize,_masterMinter != address(0),nt060,nt060 initialize should fail when _masterMinter is 0x0
initialize,_owner != address(0),nt063,nt063 initialize should fail when _owner is 0x0
initialize,_pauser != address(0),nt061,nt061 initialize should fail when _pauser is 0x0
mint,_amount > 0,nt055,nt055 should fail to mint when amount = 0
mint,blacklisted[msg.sender] == false,nt003,nt003 should fail to mint when msg.sender is blacklisted
mint,blacklisted[_to] == false,nt004,nt004 should fail to mint when recipient is blacklisted
mint,minterAllowed[msg.sender] >= amount,nt005,nt005 should fail to mint when allowance of minter is less than amount
mint,minters[msg.sender] == true,nt002,nt002 should fail to mint when msg.sender is not a minter
mint,paused == false,nt001,nt001 should fail to mint when paused
mint,_to != address(0),nt006,nt006 should fail to mint to 0x0 address
pause,msg.sender == pauser,nt040,nt040 should fail to pause when sender is not pauser
removeMinter,msg.sender == masterMinter,nt029,nt029 should fail to removeMinter when sender is not masterMinter
transfer,_value <= balances[msg.sender],nt021,nt021 should fail to transfer an amount greater than balance
transfer,_to != address(0),nt020,nt020 should fail to transfer to 0x0 address
transfer,blacklisted[msg.sender] == false,nt023,nt023 should fail to transfer when sender is blacklisted
transfer,blacklisted[_to] == false,nt022,nt022 should fail to transfer to blacklisted recipient
transfer,paused == false,nt024,nt024 should fail to transfer when paused
transferFrom,_value <= balances[_from],nt013,nt013 should fail to transferFrom an amount greater than balance
transferFrom,_to != address(0),nt012,nt012 should fail to transferFrom to 0x0 address
transferFrom,_value <= allowed[_from][msg.sender],nt017,nt017 should fail to transferFrom an amount greater than allowed for msg.sender
transferFrom,blacklisted[_from] == false,nt016,nt016 should fail to transferFrom when from is blacklisted
transferFrom,blacklisted[msg.sender] == false,nt015,nt015 should fail to transferFrom from blacklisted msg.sender
transferFrom,blacklisted[_to] == false,nt014,nt014 should fail to transferFrom to blacklisted recipient
transferFrom,paused == false,nt018,nt018 should fail to transferFrom when paused
transferOwnership,newOwner != address(0),nt064,nt064 transferOwnership should fail on 0x0
transferOwnership,msg.sender == _owner,nt054,nt054 should fail to transferOwnership when sender is not owner
unBlacklist,msg.sender == blacklister,nt043,nt043 should fail to unblacklist when sender is not blacklister
unpause,msg.sender == pauser,nt041,nt041 should fail to unpause when sender is not pauser
updateBlacklister,_newBlacklister != address(0),nt059,nt059 updateBlacklister should fail on 0x0
updateBlacklister,msg.sender == _owner,nt048,nt048 should fail to updateBlacklister when sender is not owner
updateMasterMinter,_newMasterMinter != address(0),nt057,nt057 updateMasterMinter should fail on 0x0
updateMasterMinter,msg.sender == _owner,nt049,nt049 should fail to updateMasterMinter when sender is not owner
updatePauser,_newPauser != address(0),nt058,nt058 updatePauser should fail on 0x0
updatePauser,msg.sender == _owner,nt050,nt050 should fail to updatePauser when sender is not owner
