File,Function,Arguments,Code,Description
Ownable.sol,transferOwnership,newOwner == msg.sender,arg000,arg000 transferOwnership(msg.sender) works
Ownable.sol,transferOwnership,newOwner == 0,arg001,arg001 transferOwnership(0) reverts
Ownable.sol,transferOwnership,newOwner == owner,arg002,arg002 transferOwnership(owner) works
Controller.sol,configureController,newController == 0,arg003,"arg003 configureController(0, M) works"
Controller.sol,configureController,newController == msg.sender,arg004,"arg004 configureController(msg.sender, M) works"
Controller.sol,configureController,newController == newMinter,arg005,"arg005 configureController(M, M) works"
Controller.sol,configureController,newMinter == 0,arg006,"arg006 configureController(C, 0) throws"
Controller.sol,removeController,newController == 0,arg007,arg007 removeController(0) works
MintController.sol,setMinterManager,newMinterManager = 0,arg008,arg008 setMinterManager(0) works
MintController.sol,setMinterManager,newMinterManager == minterManager,arg009,arg009 setMinterManager(oldMinterManager) works
MintController.sol,setMinterManager,newMinterManager == user,arg010,arg010 setMinterManager(user_account) works
MintController.sol,setMinterManager,newMinterManager == newToken,arg011,arg011 setMinterManager(newToken) works
MintController.sol,configureMinter,newAllowance == 0,arg012,arg012 configureMinter(0) sets allowance to 0
MintController.sol,configureMinter,newAllowance == oldAllowance,arg013,arg013 configureMinter(oldAllowance) makes no changes
MintController.sol,configureMinter,newAllowance == 2^256-1,arg014,arg014 configureMinter(MAX) works
MintController.sol,incrementMinterAllowance,increment ==0,arg015,arg015 incrementMinterAllowance(0) throws
MintController.sol,incrementMinterAllowance,increment == oldAllowance,arg016,arg016 incrementMinterAllowance(oldAllowance) doubles the allowance
MintController.sol,incrementMinterAllowance,increment == 2^256-1,arg017,arg017 incrementMinterAllowance(MAX) throws
MintController.sol,incrementMinterAllowance,increment + oldAllowance == 2^256 -1,arg018,arg018 incrementMinterAllowance(BIG) throws
MintController.sol,decrementMinterAllowance,decrement == oldAllowance,arg019,arg019 decrementMinterAllowance(oldAllowance) sets the allowance to 0
MintController.sol,decrementMinterAllowance,oldAllowance - decrement == 0 - 1,arg020,arg020 decrementMinterAllowance(MIN) throws
